enrollment_id,instruction_id,enrollment_start_time,enrollment_end_time,enrollment_status,last_modified_date,etl_date
1035,1035,2021-12-03,2021-12-30,closed,2022-01-06,2022-01-13
1036,1036,2021-11-24,2021-12-15,closed,2021-12-22,2021-12-29
1037,1037,2021-11-19,2021-12-15,closed,2021-12-22,2021-12-29
1038,1038,2021-11-15,2021-12-13,closed,2021-12-20,2021-12-27
1039,1039,2021-11-22,2021-12-18,closed,2021-12-25,2022-01-01
1040,1040,2021-11-23,2021-12-17,closed,2021-12-24,2021-12-31
1041,1041,2021-11-30,2021-12-27,closed,2022-01-03,2022-01-10
1042,1042,2021-11-24,2021-12-16,closed,2021-12-23,2021-12-30
1043,1043,2021-11-17,2021-12-08,closed,2021-12-15,2021-12-22
1044,1044,2021-11-22,2021-12-15,closed,2021-12-22,2021-12-29
1045,1045,2021-11-24,2021-12-21,closed,2021-12-28,2022-01-04
1046,1046,2021-11-26,2021-12-18,closed,2021-12-25,2022-01-01
1047,1047,2021-11-20,2021-12-17,closed,2021-12-24,2021-12-31
1048,1048,2021-11-20,2021-12-11,closed,2021-12-18,2021-12-25
1049,1049,2021-11-23,2021-12-15,closed,2021-12-22,2021-12-29
1050,1050,2021-12-01,2021-12-24,closed,2021-12-31,2022-01-07
1051,1051,2021-11-21,2021-12-19,closed,2021-12-26,2022-01-02
1052,1052,2021-11-22,2021-12-18,closed,2021-12-25,2022-01-01
1053,1053,2021-11-23,2021-12-14,closed,2021-12-21,2021-12-28
1054,1054,2021-11-21,2021-12-13,closed,2021-12-20,2021-12-27
1055,1055,2021-11-17,2021-12-11,closed,2021-12-18,2021-12-25
1056,1056,2021-11-25,2021-12-18,closed,2021-12-25,2022-01-01
1057,1057,2021-11-19,2021-12-17,closed,2021-12-24,2021-12-31
1058,1058,2021-11-22,2021-12-16,closed,2021-12-23,2021-12-30
1059,1059,2021-11-21,2021-12-13,closed,2021-12-20,2021-12-27
1060,1060,2021-11-21,2021-12-12,closed,2021-12-19,2021-12-26
1061,1061,2021-11-23,2021-12-20,closed,2021-12-27,2022-01-03
1062,1062,2021-11-27,2021-12-18,closed,2021-12-25,2022-01-01
1063,1063,2021-11-23,2021-12-20,closed,2021-12-27,2022-01-03
1064,1064,2021-11-21,2021-12-13,closed,2021-12-20,2021-12-27
1065,1065,2021-11-27,2021-12-21,closed,2021-12-28,2022-01-04
1066,1066,2021-11-19,2021-12-11,closed,2021-12-18,2021-12-25
1067,1067,2021-11-22,2021-12-15,closed,2021-12-22,2021-12-29
1068,1068,2021-11-23,2021-12-20,closed,2021-12-27,2022-01-03
1069,1069,2021-11-30,2021-12-23,closed,2021-12-30,2022-01-06
1070,1070,2021-11-20,2021-12-14,closed,2021-12-21,2021-12-28
1071,1071,2021-11-17,2021-12-15,closed,2021-12-22,2021-12-29
1072,1072,2021-11-22,2021-12-18,closed,2021-12-25,2022-01-01
1073,1073,2021-11-24,2021-12-20,closed,2021-12-27,2022-01-03
1074,1074,2021-11-13,2021-12-05,closed,2021-12-12,2021-12-19
1075,1075,2021-11-13,2021-12-08,closed,2021-12-15,2021-12-22
1076,1076,2021-11-24,2021-12-17,closed,2021-12-24,2021-12-31
1077,1077,2021-12-03,2021-12-29,closed,2022-01-05,2022-01-12
1078,1078,2021-11-20,2021-12-15,closed,2021-12-22,2021-12-29
1079,1079,2021-11-28,2021-12-26,closed,2022-01-02,2022-01-09
1080,1080,2021-11-26,2021-12-20,closed,2021-12-27,2022-01-03
1081,1081,2021-12-03,2021-12-28,closed,2022-01-04,2022-01-11
1082,1082,2021-11-29,2021-12-20,closed,2021-12-27,2022-01-03
1083,1083,2021-11-22,2021-12-13,closed,2021-12-20,2021-12-27
1084,1084,2021-11-24,2021-12-22,closed,2021-12-29,2022-01-05
1085,1085,2021-11-22,2021-12-16,closed,2021-12-23,2021-12-30
1086,1086,2021-11-16,2021-12-07,closed,2021-12-14,2021-12-21
1087,1087,2021-11-17,2021-12-10,closed,2021-12-17,2021-12-24
1088,1088,2022-06-22,2022-07-17,closed,2022-07-24,2022-07-31
1089,1089,2022-06-20,2022-07-13,closed,2022-07-20,2022-07-27
1090,1090,2022-06-28,2022-07-19,closed,2022-07-26,2022-08-02
1091,1091,2022-06-29,2022-07-27,closed,2022-08-03,2022-08-10
1092,1092,2022-06-16,2022-07-10,closed,2022-07-17,2022-07-24
1093,1093,2022-06-19,2022-07-12,closed,2022-07-19,2022-07-26
1094,1094,2022-06-25,2022-07-18,closed,2022-07-25,2022-08-01
1095,1095,2022-06-22,2022-07-13,closed,2022-07-20,2022-07-27
1096,1096,2022-06-13,2022-07-04,closed,2022-07-11,2022-07-18
1097,1097,2022-06-23,2022-07-18,closed,2022-07-25,2022-08-01
1098,1098,2022-06-23,2022-07-20,closed,2022-07-27,2022-08-03
1099,1099,2022-06-20,2022-07-13,closed,2022-07-20,2022-07-27
1100,1100,2022-06-15,2022-07-13,closed,2022-07-20,2022-07-27
1101,1101,2022-06-27,2022-07-23,closed,2022-07-30,2022-08-06
1102,1102,2022-06-22,2022-07-14,closed,2022-07-21,2022-07-28
1103,1103,2022-06-22,2022-07-15,closed,2022-07-22,2022-07-29
1104,1104,2022-06-24,2022-07-17,closed,2022-07-24,2022-07-31
1105,1105,2022-06-21,2022-07-17,closed,2022-07-24,2022-07-31
1106,1106,2022-06-26,2022-07-18,closed,2022-07-25,2022-08-01
1107,1107,2022-06-19,2022-07-17,closed,2022-07-24,2022-07-31
1108,1108,2022-06-24,2022-07-18,closed,2022-07-25,2022-08-01
1109,1109,2022-06-29,2022-07-26,closed,2022-08-02,2022-08-09
1110,1110,2022-06-26,2022-07-21,closed,2022-07-28,2022-08-04
1111,1111,2022-06-18,2022-07-12,closed,2022-07-19,2022-07-26
1112,1112,2022-06-21,2022-07-14,closed,2022-07-21,2022-07-28
1113,1113,2022-06-20,2022-07-14,closed,2022-07-21,2022-07-28
1114,1114,2022-06-22,2022-07-16,closed,2022-07-23,2022-07-30
1115,1115,2022-06-25,2022-07-22,closed,2022-07-29,2022-08-05
1116,1116,2022-06-19,2022-07-16,closed,2022-07-23,2022-07-30
1117,1117,2022-06-28,2022-07-23,closed,2022-07-30,2022-08-06
1118,1118,2022-06-21,2022-07-18,closed,2022-07-25,2022-08-01
1119,1119,2022-06-29,2022-07-27,closed,2022-08-03,2022-08-10
1120,1120,2022-06-23,2022-07-14,closed,2022-07-21,2022-07-28
1121,1121,2022-06-17,2022-07-09,closed,2022-07-16,2022-07-23
1122,1122,2022-06-27,2022-07-25,closed,2022-08-01,2022-08-08
1123,1123,2022-06-19,2022-07-17,closed,2022-07-24,2022-07-31
1124,1124,2022-06-20,2022-07-18,closed,2022-07-25,2022-08-01
1125,1125,2022-06-28,2022-07-23,closed,2022-07-30,2022-08-06
1126,1126,2022-06-25,2022-07-18,closed,2022-07-25,2022-08-01
1127,1127,2022-06-29,2022-07-24,closed,2022-07-31,2022-08-07
1128,1128,2022-06-29,2022-07-25,closed,2022-08-01,2022-08-08
1129,1129,2022-06-30,2022-07-26,closed,2022-08-02,2022-08-09
1130,1130,2022-07-03,2022-07-25,closed,2022-08-01,2022-08-08
1131,1131,2022-06-18,2022-07-15,closed,2022-07-22,2022-07-29
1132,1132,2022-06-30,2022-07-21,closed,2022-07-28,2022-08-04
1133,1133,2022-06-17,2022-07-11,closed,2022-07-18,2022-07-25
1134,1134,2022-06-28,2022-07-26,closed,2022-08-02,2022-08-09
1135,1135,2022-06-19,2022-07-16,closed,2022-07-23,2022-07-30
1136,1136,2022-06-25,2022-07-22,closed,2022-07-29,2022-08-05
1137,1137,2022-06-29,2022-07-24,closed,2022-07-31,2022-08-07
1138,1138,2022-06-24,2022-07-17,closed,2022-07-24,2022-07-31
1139,1139,2022-06-26,2022-07-23,closed,2022-07-30,2022-08-06
1140,1140,2022-06-20,2022-07-12,closed,2022-07-19,2022-07-26
1141,1141,2022-06-27,2022-07-23,closed,2022-07-30,2022-08-06
1142,1142,2022-06-23,2022-07-17,closed,2022-07-24,2022-07-31
1143,1143,2022-06-24,2022-07-18,closed,2022-07-25,2022-08-01
1144,1144,2022-06-27,2022-07-23,closed,2022-07-30,2022-08-06
1145,1145,2022-06-22,2022-07-16,closed,2022-07-23,2022-07-30
1146,1146,2022-06-22,2022-07-15,closed,2022-07-22,2022-07-29
1147,1147,2022-06-21,2022-07-18,closed,2022-07-25,2022-08-01
1148,1148,2022-06-27,2022-07-18,closed,2022-07-25,2022-08-01
1149,1149,2022-06-27,2022-07-23,closed,2022-07-30,2022-08-06
1150,1150,2022-06-16,2022-07-10,closed,2022-07-17,2022-07-24
1151,1151,2022-07-03,2022-07-25,closed,2022-08-01,2022-08-08
1152,1152,2022-07-01,2022-07-27,closed,2022-08-03,2022-08-10
1153,1153,2022-06-29,2022-07-26,closed,2022-08-02,2022-08-09
1154,1154,2022-06-14,2022-07-08,closed,2022-07-15,2022-07-22
1155,1155,2022-06-24,2022-07-18,closed,2022-07-25,2022-08-01
1156,1156,2022-07-01,2022-07-28,closed,2022-08-04,2022-08-11
1157,1157,2022-06-17,2022-07-10,closed,2022-07-17,2022-07-24
1158,1158,2022-06-24,2022-07-22,closed,2022-07-29,2022-08-05
1159,1159,2022-06-25,2022-07-23,closed,2022-07-30,2022-08-06
1160,1160,2022-06-23,2022-07-18,closed,2022-07-25,2022-08-01
1161,1161,2022-06-21,2022-07-15,closed,2022-07-22,2022-07-29
1162,1162,2022-06-25,2022-07-17,closed,2022-07-24,2022-07-31
1163,1163,2022-07-02,2022-07-23,closed,2022-07-30,2022-08-06
1164,1164,2022-11-22,2022-12-17,closed,2022-12-24,2022-12-31
1165,1165,2022-11-29,2022-12-20,closed,2022-12-27,2023-01-03
1166,1166,2022-11-18,2022-12-11,closed,2022-12-18,2022-12-25
1167,1167,2022-11-22,2022-12-14,closed,2022-12-21,2022-12-28
1168,1168,2022-11-24,2022-12-15,closed,2022-12-22,2022-12-29
1169,1169,2022-11-28,2022-12-23,closed,2022-12-30,2023-01-06
1170,1170,2022-12-03,2022-12-27,closed,2023-01-03,2023-01-10
1171,1171,2022-11-25,2022-12-18,closed,2022-12-25,2023-01-01
1172,1172,2022-11-19,2022-12-12,closed,2022-12-19,2022-12-26
1173,1173,2022-11-20,2022-12-11,closed,2022-12-18,2022-12-25
1174,1174,2022-11-21,2022-12-16,closed,2022-12-23,2022-12-30
1175,1175,2022-12-02,2022-12-24,closed,2022-12-31,2023-01-07
1176,1176,2022-11-24,2022-12-17,closed,2022-12-24,2022-12-31
1177,1177,2022-11-16,2022-12-13,closed,2022-12-20,2022-12-27
1178,1178,2022-11-20,2022-12-14,closed,2022-12-21,2022-12-28
1179,1179,2022-11-28,2022-12-20,closed,2022-12-27,2023-01-03
1180,1180,2022-11-17,2022-12-13,closed,2022-12-20,2022-12-27
1181,1181,2022-11-26,2022-12-21,closed,2022-12-28,2023-01-04
1182,1182,2022-11-25,2022-12-20,closed,2022-12-27,2023-01-03
1183,1183,2022-11-25,2022-12-19,closed,2022-12-26,2023-01-02
1184,1184,2022-11-21,2022-12-19,closed,2022-12-26,2023-01-02
1185,1185,2022-11-15,2022-12-09,closed,2022-12-16,2022-12-23
1186,1186,2022-11-25,2022-12-23,closed,2022-12-30,2023-01-06
1187,1187,2022-11-30,2022-12-25,closed,2023-01-01,2023-01-08
1188,1188,2022-11-17,2022-12-15,closed,2022-12-22,2022-12-29
1189,1189,2022-12-02,2022-12-28,closed,2023-01-04,2023-01-11
1190,1190,2022-11-23,2022-12-21,closed,2022-12-28,2023-01-04
1191,1191,2022-12-01,2022-12-28,closed,2023-01-04,2023-01-11
1192,1192,2022-11-20,2022-12-14,closed,2022-12-21,2022-12-28
1193,1193,2022-11-19,2022-12-15,closed,2022-12-22,2022-12-29
1194,1194,2022-11-29,2022-12-23,closed,2022-12-30,2023-01-06
1195,1195,2022-11-27,2022-12-22,closed,2022-12-29,2023-01-05
1196,1196,2022-11-26,2022-12-18,closed,2022-12-25,2023-01-01
1197,1197,2022-11-18,2022-12-10,closed,2022-12-17,2022-12-24
1198,1198,2022-11-26,2022-12-17,closed,2022-12-24,2022-12-31
1199,1199,2022-11-22,2022-12-20,closed,2022-12-27,2023-01-03
1200,1200,2022-12-01,2022-12-23,closed,2022-12-30,2023-01-06
1201,1201,2022-11-26,2022-12-22,closed,2022-12-29,2023-01-05
1202,1202,2022-12-01,2022-12-27,closed,2023-01-03,2023-01-10
1203,1203,2022-11-21,2022-12-16,closed,2022-12-23,2022-12-30
1204,1204,2022-11-23,2022-12-17,closed,2022-12-24,2022-12-31
1205,1205,2022-11-17,2022-12-10,closed,2022-12-17,2022-12-24
1206,1206,2022-11-21,2022-12-18,closed,2022-12-25,2023-01-01
1207,1207,2022-11-20,2022-12-16,closed,2022-12-23,2022-12-30
1208,1208,2022-11-19,2022-12-17,closed,2022-12-24,2022-12-31
1209,1209,2022-11-22,2022-12-15,closed,2022-12-22,2022-12-29
1210,1210,2022-11-24,2022-12-15,closed,2022-12-22,2022-12-29
1211,1211,2022-11-13,2022-12-10,closed,2022-12-17,2022-12-24
1212,1212,2022-11-27,2022-12-24,closed,2022-12-31,2023-01-07
1213,1213,2022-11-24,2022-12-17,closed,2022-12-24,2022-12-31
1214,1214,2022-11-20,2022-12-12,closed,2022-12-19,2022-12-26
1215,1215,2022-11-14,2022-12-12,closed,2022-12-19,2022-12-26
1216,1216,2022-11-20,2022-12-13,closed,2022-12-20,2022-12-27
1217,1217,2022-11-28,2022-12-22,closed,2022-12-29,2023-01-05
1218,1218,2022-11-28,2022-12-25,closed,2023-01-01,2023-01-08
1219,1219,2022-11-18,2022-12-15,closed,2022-12-22,2022-12-29
1220,1220,2022-11-23,2022-12-21,closed,2022-12-28,2023-01-04
1221,1221,2022-11-23,2022-12-18,closed,2022-12-25,2023-01-01
1222,1222,2022-11-16,2022-12-09,closed,2022-12-16,2022-12-23
1223,1223,2022-11-22,2022-12-18,closed,2022-12-25,2023-01-01
1224,1224,2022-11-22,2022-12-20,closed,2022-12-27,2023-01-03
1225,1225,2022-11-15,2022-12-09,closed,2022-12-16,2022-12-23
1226,1226,2022-11-25,2022-12-22,closed,2022-12-29,2023-01-05
1227,1227,2022-12-02,2022-12-27,closed,2023-01-03,2023-01-10
1228,1228,2022-11-25,2022-12-23,closed,2022-12-30,2023-01-06
1229,1229,2022-11-28,2022-12-20,closed,2022-12-27,2023-01-03
1230,1230,2023-06-18,2023-07-09,closed,2023-07-16,2023-07-23
1231,1231,2023-06-15,2023-07-09,closed,2023-07-16,2023-07-23
1232,1232,2023-06-18,2023-07-15,closed,2023-07-22,2023-07-29
1233,1233,2023-06-20,2023-07-12,closed,2023-07-19,2023-07-26
1234,1234,2023-06-20,2023-07-12,closed,2023-07-19,2023-07-26
1235,1235,2023-06-29,2023-07-23,closed,2023-07-30,2023-08-06
1236,1236,2023-06-27,2023-07-23,closed,2023-07-30,2023-08-06
1237,1237,2023-06-19,2023-07-14,closed,2023-07-21,2023-07-28
1238,1238,2023-06-25,2023-07-16,closed,2023-07-23,2023-07-30
1239,1239,2023-06-28,2023-07-25,closed,2023-08-01,2023-08-08
1240,1240,2023-06-20,2023-07-13,closed,2023-07-20,2023-07-27
1241,1241,2023-06-17,2023-07-10,closed,2023-07-17,2023-07-24
1242,1242,2023-06-21,2023-07-16,closed,2023-07-23,2023-07-30
1243,1243,2023-06-29,2023-07-24,closed,2023-07-31,2023-08-07
1244,1244,2023-06-30,2023-07-24,closed,2023-07-31,2023-08-07
1245,1245,2023-06-25,2023-07-22,closed,2023-07-29,2023-08-05
1246,1246,2023-07-04,2023-07-31,closed,2023-08-07,2023-08-14
1247,1247,2023-06-24,2023-07-16,closed,2023-07-23,2023-07-30
1248,1248,2023-06-23,2023-07-19,closed,2023-07-26,2023-08-02
1249,1249,2023-06-25,2023-07-18,closed,2023-07-25,2023-08-01
1250,1250,2023-06-20,2023-07-12,closed,2023-07-19,2023-07-26
1251,1251,2023-06-25,2023-07-16,closed,2023-07-23,2023-07-30
1252,1252,2023-06-26,2023-07-24,closed,2023-07-31,2023-08-07
1253,1253,2023-07-02,2023-07-24,closed,2023-07-31,2023-08-07
1254,1254,2023-06-28,2023-07-22,closed,2023-07-29,2023-08-05
1255,1255,2023-06-24,2023-07-15,closed,2023-07-22,2023-07-29
1256,1256,2023-06-22,2023-07-20,closed,2023-07-27,2023-08-03
1257,1257,2023-07-01,2023-07-23,closed,2023-07-30,2023-08-06
1258,1258,2023-06-15,2023-07-11,closed,2023-07-18,2023-07-25
1259,1259,2023-06-16,2023-07-07,closed,2023-07-14,2023-07-21
1260,1260,2023-06-25,2023-07-22,closed,2023-07-29,2023-08-05
1261,1261,2023-06-22,2023-07-20,closed,2023-07-27,2023-08-03
1262,1262,2023-06-17,2023-07-09,closed,2023-07-16,2023-07-23
1263,1263,2023-06-28,2023-07-25,closed,2023-08-01,2023-08-08
1264,1264,2023-06-27,2023-07-18,closed,2023-07-25,2023-08-01
1265,1265,2023-06-27,2023-07-21,closed,2023-07-28,2023-08-04
1266,1266,2023-06-21,2023-07-18,closed,2023-07-25,2023-08-01
1267,1267,2023-06-24,2023-07-15,closed,2023-07-22,2023-07-29
1268,1268,2023-06-26,2023-07-18,closed,2023-07-25,2023-08-01
1269,1269,2023-06-25,2023-07-18,closed,2023-07-25,2023-08-01
1270,1270,2023-06-24,2023-07-15,closed,2023-07-22,2023-07-29
1271,1271,2023-06-24,2023-07-15,closed,2023-07-22,2023-07-29
1272,1272,2023-06-21,2023-07-12,closed,2023-07-19,2023-07-26
1273,1273,2023-11-24,2023-12-20,closed,2023-12-27,2024-01-03
1274,1274,2023-12-01,2023-12-27,closed,2024-01-03,2024-01-10
1275,1275,2023-11-22,2023-12-13,closed,2023-12-20,2023-12-27
1276,1276,2023-11-23,2023-12-18,closed,2023-12-25,2024-01-01
1277,1277,2023-11-26,2023-12-24,closed,2023-12-31,2024-01-07
1278,1278,2023-11-16,2023-12-13,closed,2023-12-20,2023-12-27
1279,1279,2023-11-27,2023-12-18,closed,2023-12-25,2024-01-01
1280,1280,2023-11-29,2023-12-25,closed,2024-01-01,2024-01-08
1281,1281,2023-11-24,2023-12-17,closed,2023-12-24,2023-12-31
1282,1282,2023-11-22,2023-12-19,closed,2023-12-26,2024-01-02
1283,1283,2023-11-24,2023-12-15,closed,2023-12-22,2023-12-29
1284,1284,2023-11-17,2023-12-09,closed,2023-12-16,2023-12-23
1285,1285,2023-11-21,2023-12-19,closed,2023-12-26,2024-01-02
1286,1286,2023-11-30,2023-12-21,closed,2023-12-28,2024-01-04
1287,1287,2023-11-20,2023-12-14,closed,2023-12-21,2023-12-28
1288,1288,2023-11-22,2023-12-16,closed,2023-12-23,2023-12-30
1289,1289,2023-11-25,2023-12-22,closed,2023-12-29,2024-01-05
1290,1290,2023-11-17,2023-12-10,closed,2023-12-17,2023-12-24
1291,1291,2023-11-24,2023-12-22,closed,2023-12-29,2024-01-05
1292,1292,2023-11-28,2023-12-24,closed,2023-12-31,2024-01-07
1293,1293,2023-11-18,2023-12-12,closed,2023-12-19,2023-12-26
1294,1294,2023-11-23,2023-12-19,closed,2023-12-26,2024-01-02
1295,1295,2023-11-20,2023-12-14,closed,2023-12-21,2023-12-28
1296,1296,2023-11-20,2023-12-14,closed,2023-12-21,2023-12-28
1297,1297,2023-12-02,2023-12-29,closed,2024-01-05,2024-01-12
1298,1298,2023-11-21,2023-12-15,closed,2023-12-22,2023-12-29
1299,1299,2023-11-20,2023-12-12,closed,2023-12-19,2023-12-26
1300,1300,2023-11-30,2023-12-25,closed,2024-01-01,2024-01-08
1301,1301,2023-11-19,2023-12-17,closed,2023-12-24,2023-12-31
1302,1302,2023-11-18,2023-12-10,closed,2023-12-17,2023-12-24
1303,1303,2023-11-30,2023-12-26,closed,2024-01-02,2024-01-09
1304,1304,2023-11-18,2023-12-10,closed,2023-12-17,2023-12-24
1305,1305,2023-11-21,2023-12-15,closed,2023-12-22,2023-12-29
1306,1306,2023-11-16,2023-12-13,closed,2023-12-20,2023-12-27
1307,1307,2023-11-21,2023-12-19,closed,2023-12-26,2024-01-02
1308,1308,2023-11-16,2023-12-12,closed,2023-12-19,2023-12-26
1309,1309,2023-11-21,2023-12-12,closed,2023-12-19,2023-12-26
1310,1310,2023-11-26,2023-12-19,closed,2023-12-26,2024-01-02
1311,1311,2023-11-18,2023-12-10,closed,2023-12-17,2023-12-24
1312,1312,2023-11-29,2023-12-24,closed,2023-12-31,2024-01-07
1313,1313,2023-11-15,2023-12-10,closed,2023-12-17,2023-12-24
1314,1314,2023-11-18,2023-12-10,closed,2023-12-17,2023-12-24
1315,1315,2023-11-22,2023-12-16,closed,2023-12-23,2023-12-30
1316,1316,2023-11-27,2023-12-19,closed,2023-12-26,2024-01-02
1317,1317,2023-12-03,2023-12-29,closed,2024-01-05,2024-01-12
1318,1318,2023-11-15,2023-12-06,closed,2023-12-13,2023-12-20
1319,1319,2023-11-28,2023-12-21,closed,2023-12-28,2024-01-04
1320,1320,2023-11-21,2023-12-15,closed,2023-12-22,2023-12-29
1321,1321,2023-11-24,2023-12-20,closed,2023-12-27,2024-01-03
1322,1322,2023-11-30,2023-12-27,closed,2024-01-03,2024-01-10
1323,1323,2023-11-19,2023-12-10,closed,2023-12-17,2023-12-24
1324,1324,2023-12-03,2023-12-27,closed,2024-01-03,2024-01-10
1325,1325,2023-11-19,2023-12-17,closed,2023-12-24,2023-12-31
1326,1326,2023-11-21,2023-12-19,closed,2023-12-26,2024-01-02
1327,1327,2023-11-30,2023-12-21,closed,2023-12-28,2024-01-04
1328,1328,2023-11-22,2023-12-13,closed,2023-12-20,2023-12-27
1329,1329,2023-11-22,2023-12-20,closed,2023-12-27,2024-01-03
1330,1330,2023-11-30,2023-12-23,closed,2023-12-30,2024-01-06
1331,1331,2023-11-30,2023-12-23,closed,2023-12-30,2024-01-06
1332,1332,2023-11-23,2023-12-20,closed,2023-12-27,2024-01-03
1333,1333,2023-11-17,2023-12-13,closed,2023-12-20,2023-12-27
1334,1334,2023-11-24,2023-12-19,closed,2023-12-26,2024-01-02
1335,1335,2023-11-23,2023-12-16,closed,2023-12-23,2023-12-30
1336,1336,2024-06-22,2024-07-14,closed,2024-07-21,2024-07-28
1337,1337,2024-06-26,2024-07-22,closed,2024-07-29,2024-08-05
1338,1338,2024-06-27,2024-07-22,closed,2024-07-29,2024-08-05
1339,1339,2024-06-25,2024-07-20,closed,2024-07-27,2024-08-03
1340,1340,2024-06-19,2024-07-15,closed,2024-07-22,2024-07-29
1341,1341,2024-06-30,2024-07-26,closed,2024-08-02,2024-08-09
1342,1342,2024-06-17,2024-07-13,closed,2024-07-20,2024-07-27
1343,1343,2024-06-28,2024-07-25,closed,2024-08-01,2024-08-08
1344,1344,2024-07-02,2024-07-28,closed,2024-08-04,2024-08-11
1345,1345,2024-06-29,2024-07-21,closed,2024-07-28,2024-08-04
1346,1346,2024-06-23,2024-07-21,closed,2024-07-28,2024-08-04
1347,1347,2024-06-14,2024-07-05,closed,2024-07-12,2024-07-19
1348,1348,2024-06-24,2024-07-16,closed,2024-07-23,2024-07-30
