instruction_lecturer_id,instruction_id,lecturer_id,lecturer_type
140,1039,116,theory
141,1040,114,practice
142,1040,19,practice
143,1040,29,theory
144,1041,56,practice
145,1041,5,practice
146,1041,60,theory
147,1042,18,practice
148,1042,25,theory
149,1043,82,theory
150,1044,120,theory
151,1045,37,theory
152,1046,128,theory
153,1047,10,theory
154,1048,50,theory
155,1049,15,theory
156,1050,57,theory
157,1051,117,theory
158,1052,127,theory
159,1053,38,theory
160,1054,130,theory
161,1055,70,theory
162,1056,127,theory
163,1057,14,practice
164,1057,57,practice
165,1057,133,theory
166,1058,59,practice
167,1058,151,theory
168,1059,16,practice
169,1059,2,theory
170,1060,19,practice
171,1060,45,practice
172,1060,157,theory
173,1061,112,practice
174,1061,119,practice
175,1061,60,theory
176,1062,85,practice
177,1062,154,theory
178,1063,121,practice
179,1063,73,practice
180,1063,166,theory
181,1064,3,practice
182,1064,12,practice
183,1064,7,theory
184,1065,52,practice
185,1065,85,practice
186,1065,52,theory
187,1066,8,practice
188,1066,111,theory
189,1067,28,practice
190,1067,96,theory
191,1068,67,practice
192,1068,128,practice
193,1068,41,theory
194,1069,49,practice
195,1069,34,theory
196,1070,65,practice
197,1070,116,theory
198,1071,86,practice
199,1071,62,theory
200,1072,116,practice
201,1072,140,practice
202,1072,167,theory
203,1073,9,practice
204,1073,4,practice
205,1073,20,theory
206,1074,58,practice
207,1074,116,practice
208,1074,46,theory
209,1075,53,practice
210,1075,35,theory
211,1076,75,practice
212,1076,106,practice
213,1076,56,theory
214,1077,4,practice
215,1077,45,practice
216,1077,125,theory
217,1078,99,practice
218,1078,77,theory
219,1079,62,practice
220,1079,95,practice
221,1079,78,theory
222,1080,20,practice
223,1080,114,theory
224,1081,117,practice
225,1081,59,practice
226,1081,167,theory
227,1082,55,practice
228,1082,87,theory
229,1083,135,practice
230,1083,140,practice
231,1083,58,theory
232,1084,51,practice
233,1084,17,theory
234,1085,97,practice
235,1085,121,theory
236,1086,95,practice
237,1086,72,practice
238,1086,39,theory
239,1087,33,practice
240,1087,160,theory
241,1088,37,theory
242,1089,116,theory
243,1090,6,theory
244,1091,167,theory
245,1092,164,theory
246,1093,129,practice
247,1093,88,theory
248,1094,97,practice
249,1094,139,theory
250,1095,161,practice
251,1095,44,theory
252,1096,155,practice
253,1096,95,practice
254,1096,61,theory
255,1097,50,practice
256,1097,79,practice
257,1097,64,theory
258,1098,154,practice
259,1098,103,theory
260,1099,128,practice
261,1099,114,practice
262,1099,135,theory
263,1100,122,practice
264,1100,20,practice
265,1100,3,theory
266,1101,68,practice
267,1101,100,theory
268,1102,139,practice
269,1102,25,practice
270,1102,115,theory
271,1103,98,practice
272,1103,12,practice
273,1103,119,theory
274,1104,64,practice
275,1104,134,theory
276,1105,139,practice
277,1105,100,theory
278,1106,77,practice
279,1106,133,practice
280,1106,120,theory
281,1107,76,practice
282,1107,88,practice
283,1107,157,theory
284,1108,30,practice
285,1108,66,practice
286,1108,127,theory
287,1109,68,practice
288,1109,154,practice
289,1109,32,theory
290,1110,85,practice
291,1110,48,theory
292,1111,17,practice
293,1111,158,theory
294,1112,146,practice
295,1112,25,theory
296,1113,65,practice
297,1113,127,practice
298,1113,9,theory
299,1114,28,practice
300,1114,49,practice
301,1114,31,theory
302,1115,113,practice
303,1115,137,practice
304,1115,24,theory
305,1116,154,theory
306,1117,132,theory
307,1118,164,theory
308,1119,37,theory
309,1120,158,theory
310,1121,136,theory
311,1122,56,theory
312,1123,98,practice
313,1123,116,practice
314,1123,162,theory
315,1124,82,practice
316,1124,160,practice
317,1124,95,theory
318,1125,119,practice
319,1125,75,theory
320,1126,3,practice
321,1126,96,theory
322,1127,45,practice
323,1127,106,practice
324,1127,44,theory
325,1128,74,practice
326,1128,65,theory
327,1129,63,practice
328,1129,141,practice
329,1129,111,theory
330,1130,4,practice
331,1130,17,practice
332,1130,72,theory
333,1131,122,practice
334,1131,109,practice
335,1131,19,theory
336,1132,90,practice
337,1132,158,practice
338,1132,58,theory
339,1133,96,practice
340,1133,114,theory
341,1134,77,practice
342,1134,53,practice
343,1134,75,theory
344,1135,112,practice
345,1135,38,theory
346,1136,65,practice
347,1136,80,practice
348,1136,44,theory
349,1137,30,practice
350,1137,1,theory
351,1138,112,practice
352,1138,103,practice
353,1138,153,theory
354,1139,3,practice
355,1139,98,practice
356,1139,16,theory
357,1140,91,practice
358,1140,143,theory
359,1141,62,practice
360,1141,110,theory
361,1142,48,practice
362,1142,97,theory
363,1143,5,practice
364,1143,52,theory
365,1144,54,practice
366,1144,23,theory
367,1145,147,practice
368,1145,133,practice
369,1145,11,theory
370,1146,1,practice
371,1146,56,theory
372,1147,22,practice
373,1147,83,practice
374,1147,82,theory
375,1148,138,practice
376,1148,110,practice
377,1148,114,theory
378,1149,29,practice
379,1149,50,practice
380,1149,156,theory
381,1150,100,practice
382,1150,149,practice
383,1150,20,theory
384,1151,92,practice
385,1151,27,practice
386,1151,164,theory
387,1152,59,practice
388,1152,112,practice
389,1152,148,theory
390,1153,95,practice
391,1153,40,theory
392,1154,88,practice
393,1154,75,practice
394,1154,107,theory
395,1155,73,practice
396,1155,124,practice
397,1155,72,theory
398,1156,50,practice
399,1156,102,practice
400,1156,93,theory
401,1157,1,practice
402,1157,166,theory
403,1158,122,practice
404,1158,127,practice
405,1158,146,theory
406,1159,98,practice
407,1159,91,theory
408,1160,115,practice
409,1160,87,practice
410,1160,58,theory
411,1161,149,practice
412,1161,75,practice
413,1161,44,theory
414,1162,13,practice
415,1162,22,practice
416,1162,6,theory
417,1163,159,practice
418,1163,22,practice
419,1163,85,theory
420,1164,125,theory
421,1165,161,theory
422,1166,146,theory
423,1167,13,theory
424,1168,75,theory
425,1169,149,theory
426,1170,41,theory
427,1171,18,theory
428,1172,142,theory
429,1173,133,theory
430,1174,13,theory
431,1175,156,practice
432,1175,45,theory
433,1176,38,practice
434,1176,78,theory
435,1177,94,practice
436,1177,155,practice
437,1177,152,theory
438,1178,30,practice
439,1178,127,theory
440,1179,6,practice
441,1179,105,practice
442,1179,49,theory
443,1180,83,practice
444,1180,129,theory
445,1181,118,practice
446,1181,66,theory
447,1182,86,practice
448,1182,39,theory
449,1183,93,practice
450,1183,150,theory
451,1184,85,practice
452,1184,54,theory
453,1185,73,practice
454,1185,4,theory
455,1186,12,practice
456,1186,93,practice
457,1186,148,theory
458,1187,155,practice
459,1187,153,practice
460,1187,120,theory
461,1188,149,practice
462,1188,33,theory
463,1189,22,practice
464,1189,57,practice
465,1189,106,theory
466,1190,167,practice
467,1190,96,theory
468,1191,159,practice
469,1191,13,practice
470,1191,113,theory
471,1192,72,practice
472,1192,122,theory
473,1193,150,practice
474,1193,60,practice
475,1193,129,theory
476,1194,116,practice
477,1194,157,theory
478,1195,64,practice
479,1195,39,practice
480,1195,53,theory
481,1196,53,practice
482,1196,10,theory
483,1197,36,practice
484,1197,149,theory
485,1198,56,practice
486,1198,84,theory
487,1199,93,practice
488,1199,165,theory
489,1200,151,practice
490,1200,16,theory
491,1201,103,practice
492,1201,17,practice
493,1201,138,theory
494,1202,145,practice
495,1202,143,theory
496,1203,43,practice
497,1203,149,theory
498,1204,9,practice
499,1204,73,theory
500,1205,139,practice
501,1205,45,practice
502,1205,69,theory
503,1206,44,practice
504,1206,43,practice
505,1206,150,theory
506,1207,78,practice
507,1207,63,theory
508,1208,46,practice
509,1208,15,practice
510,1208,67,theory
511,1209,89,practice
512,1209,61,practice
513,1209,129,theory
514,1210,67,theory
515,1211,129,theory
516,1212,143,theory
517,1213,62,theory
518,1214,118,theory
519,1215,65,theory
520,1216,104,theory
521,1217,3,theory
522,1218,96,theory
523,1219,49,theory
524,1220,27,theory
525,1221,3,theory
526,1222,141,theory
527,1223,155,theory
528,1224,21,theory
529,1225,32,theory
530,1226,145,theory
531,1227,60,theory
532,1228,45,theory
533,1229,43,theory
534,1230,100,theory
535,1231,15,theory
536,1232,44,theory
537,1233,42,theory
538,1234,98,theory
539,1235,92,theory
540,1236,69,theory
541,1237,49,theory
542,1238,118,theory
543,1239,80,theory
544,1240,85,practice
545,1240,93,practice
546,1240,59,theory
547,1241,156,practice
548,1241,149,theory
549,1242,91,practice
550,1242,4,theory
551,1243,164,practice
552,1243,112,theory
553,1244,159,practice
554,1244,31,practice
555,1244,131,theory
556,1245,50,practice
557,1245,133,practice
558,1245,165,theory
559,1246,111,practice
560,1246,58,practice
561,1246,34,theory
562,1247,19,practice
563,1247,4,theory
564,1248,133,practice
565,1248,132,theory
566,1249,60,practice
567,1249,163,practice
568,1249,22,theory
569,1250,109,practice
570,1250,164,practice
571,1250,44,theory
572,1251,22,practice
573,1251,143,theory
574,1252,86,practice
575,1252,80,practice
576,1252,22,theory
577,1253,42,practice
578,1253,31,theory
579,1254,119,practice
580,1254,84,practice
581,1254,81,theory
582,1255,121,practice
583,1255,60,practice
584,1255,11,theory
585,1256,101,practice
586,1256,138,theory
587,1257,131,practice
588,1257,42,theory
589,1258,138,practice
590,1258,14,practice
591,1258,135,theory
592,1259,35,practice
593,1259,2,practice
594,1259,40,theory
595,1260,154,practice
596,1260,29,theory
597,1261,30,practice
598,1261,94,theory
599,1262,159,practice
600,1262,107,theory
601,1263,107,practice
602,1263,85,practice
603,1263,68,theory
604,1264,49,practice
605,1264,60,practice
606,1264,101,theory
607,1265,104,practice
608,1265,130,theory
609,1266,55,practice
610,1266,44,theory
611,1267,159,practice
612,1267,140,practice
613,1267,46,theory
614,1268,10,practice
615,1268,37,practice
616,1268,12,theory
617,1269,65,practice
618,1269,129,theory
619,1270,124,practice
620,1270,142,practice
621,1270,37,theory
622,1271,121,practice
623,1271,18,theory
624,1272,32,practice
625,1272,92,theory
626,1273,95,practice
627,1273,77,practice
628,1273,24,theory
629,1274,146,practice
630,1274,151,theory
631,1275,73,practice
632,1275,93,practice
633,1275,123,theory
634,1276,152,practice
635,1276,62,theory
636,1277,44,practice
637,1277,3,practice
638,1277,78,theory
639,1278,85,practice
640,1278,125,practice
641,1278,155,theory
642,1279,2,practice
643,1279,136,practice
644,1279,80,theory
645,1280,134,practice
646,1280,152,practice
647,1280,108,theory
648,1281,34,practice
649,1281,22,theory
650,1282,118,practice
651,1282,110,theory
652,1283,48,practice
653,1283,51,theory
654,1284,69,practice
655,1284,113,practice
656,1284,125,theory
657,1285,59,practice
658,1285,86,practice
659,1285,14,theory
660,1286,67,practice
661,1286,18,practice
662,1286,86,theory
663,1287,114,practice
664,1287,100,theory
665,1288,152,theory
666,1289,82,theory
667,1290,46,theory
668,1291,37,theory
669,1292,139,theory
670,1293,52,theory
671,1294,70,theory
672,1295,91,theory
673,1296,86,theory
674,1297,133,theory
675,1298,110,theory
676,1299,99,theory
677,1300,55,theory
678,1301,69,theory
679,1302,67,theory
680,1303,7,theory
681,1304,83,theory
682,1305,85,theory
683,1306,58,theory
684,1307,60,practice
685,1307,96,practice
686,1307,19,theory
687,1308,67,practice
688,1308,87,practice
689,1308,146,theory
690,1309,103,practice
691,1309,4,practice
692,1309,88,theory
693,1310,36,practice
694,1310,8,theory
695,1311,125,practice
696,1311,64,theory
697,1312,114,practice
698,1312,25,theory
699,1313,87,practice
700,1313,157,theory
701,1314,67,practice
702,1314,103,practice
703,1314,42,theory
704,1315,145,practice
705,1315,100,theory
706,1316,32,practice
707,1316,141,practice
708,1316,162,theory
709,1317,132,practice
710,1317,108,practice
711,1317,84,theory
712,1318,10,practice
713,1318,1,theory
714,1319,113,practice
715,1319,67,theory
716,1320,137,practice
717,1320,50,theory
718,1321,11,practice
719,1321,162,theory
720,1322,112,practice
721,1322,150,theory
722,1323,15,practice
723,1323,23,theory
724,1324,15,practice
725,1324,98,practice
726,1324,109,theory
727,1325,157,practice
728,1325,61,theory
729,1326,129,practice
730,1326,101,practice
731,1326,109,theory
732,1327,146,practice
733,1327,155,theory
734,1328,167,practice
735,1328,163,theory
736,1329,116,practice
737,1329,136,theory
738,1330,6,practice
739,1330,101,practice
740,1330,42,theory
741,1331,129,practice
742,1331,160,theory
743,1332,74,practice
744,1332,93,theory
745,1333,151,practice
746,1333,122,theory
747,1334,105,practice
748,1334,164,practice
749,1334,72,theory
750,1335,134,practice
751,1335,146,theory
752,1336,116,theory
753,1337,129,theory
754,1338,12,theory
755,1339,62,theory
756,1340,95,theory
757,1341,27,theory
758,1342,78,theory
759,1343,76,practice
760,1343,140,practice
761,1343,112,theory
762,1344,153,practice
763,1344,82,practice
764,1344,24,theory
765,1345,159,practice
766,1345,17,practice
767,1345,71,theory
768,1346,140,practice
769,1346,157,practice
770,1346,131,theory
771,1347,165,practice
772,1347,5,theory
773,1348,129,practice
774,1348,75,practice
775,1348,140,theory
776,1349,121,practice
777,1349,150,practice
778,1349,160,theory
779,1350,108,practice
780,1350,1,practice
781,1350,1,theory
782,1351,62,practice
783,1351,110,theory
784,1352,25,practice
785,1352,113,theory
786,1353,45,practice
787,1353,165,practice
788,1353,54,theory
789,1354,40,practice
790,1354,26,practice
791,1354,147,theory
792,1355,165,practice
793,1355,130,theory
794,1356,142,theory
795,1357,12,theory
796,1358,118,theory
797,1359,137,theory
798,1360,91,theory
799,1361,50,theory
800,1362,5,theory
801,1363,34,theory
802,1364,161,theory
803,1365,20,theory
804,1366,130,theory
805,1367,24,theory
806,1368,47,theory
807,1369,129,practice
808,1369,115,practice
809,1369,56,theory
810,1370,11,practice
811,1370,14,practice
812,1370,51,theory
813,1371,110,practice
814,1371,79,theory
815,1372,66,practice
816,1372,52,practice
817,1372,62,theory
818,1373,124,practice
819,1373,44,theory
820,1374,16,practice
821,1374,28,theory
822,1375,62,practice
823,1375,87,theory
824,1376,96,practice
825,1376,142,theory
826,1377,111,practice
827,1377,57,theory
828,1378,140,practice
829,1378,130,theory
830,1379,25,practice
831,1379,6,theory
832,1380,77,practice
833,1380,98,practice
834,1380,16,theory
835,1381,99,practice
836,1381,14,practice
837,1381,83,theory
838,1382,41,practice
839,1382,103,theory
840,1383,105,practice
841,1383,167,theory
842,1384,21,practice
843,1384,8,theory
844,1385,90,practice
845,1385,76,theory
846,1386,11,practice
847,1386,34,theory
848,1387,64,practice
849,1387,129,theory
850,1388,24,practice
851,1388,138,theory
852,1389,70,practice
853,1389,5,practice
854,1389,31,theory
855,1390,7,practice
856,1390,89,theory
857,1391,136,practice
858,1391,116,theory
859,1392,86,practice
860,1392,78,theory
861,1393,13,practice
862,1393,63,practice
863,1393,5,theory
864,1394,18,practice
865,1394,150,theory
866,1395,82,practice
867,1395,86,theory
868,1396,145,practice
869,1396,120,practice
870,1396,4,theory
871,1397,166,practice
872,1397,65,theory
873,1398,55,practice
874,1398,90,theory
875,1399,18,practice
876,1399,83,theory
877,1400,38,practice
878,1400,161,practice
879,1400,99,theory
880,1401,160,practice
881,1401,23,practice
882,1401,4,theory
883,1402,89,practice
884,1402,17,theory
885,1403,140,practice
886,1403,130,practice
887,1403,46,theory
888,1404,68,practice
889,1404,16,practice
890,1404,49,theory
891,1405,69,practice
892,1405,19,practice
893,1405,7,theory
894,1406,77,practice
895,1406,45,theory
896,1407,115,practice
897,1407,44,practice
898,1407,157,theory
899,1408,112,practice
900,1408,134,theory
901,1409,56,practice
902,1409,148,theory
903,1410,47,practice
904,1410,100,theory
905,1411,101,practice
906,1411,82,practice
907,1411,152,theory
908,1412,9,practice
909,1412,18,theory
